L1 Код;L1 Назва;L2 Код;L2 Назва;L3 Код;L3 Назва (проблема);Коли обирати цю категорію;Чим відрізняється від схожих категорій
D;Двір;D.1;Благоустрій;D.1.5;Пошкоджена лавка / урна у дворі;"Коли у дворі зламана, розхитана, розбита або відсутня лавка, пошкоджена чи перекинута урна, елементи відпочинку мешканців у дворі.";"Якщо лавка або урна розташовані в парку, сквері чи на вулиці, це може бути R.3.1 (Нелегальне звалище / сміття на вулиці) або інші вуличні категорії. D.1.5 — саме про елементи благоустрою у дворі біля будинку."
D;Двір;D.2;Санітарія;D.2.1;Не вивозять сміття (контейнери);"Коли сміттєві баки або контейнери біля будинку переповнені, сміття розкидане довкола, довго не приїздить машина для вивезення відходів.";"Якщо скарга на велику купу сміття не біля баків, а на пустирі, узбіччі або в лісосмузі — це R.3.1 (Нелегальне звалище). Якщо сміття накопичується всередині під'їзду, обираємо H.2.2 (Не прибирають у під'їзді)."
U;Комунальні послуги;U.1;Електроенергія;U.1.1;Немає світла у квартирі / будинку;"Коли в квартирі, під'їзді чи цілому будинку повністю відсутнє електропостачання: не працюють лампи, розетки, електроприлади.";"Якщо світло є, але скарга тільки на несправність ліфта — це H.1.1. Якщо проблема не в повній відсутності світла, а в скачках напруги, мерехтінні або згоранні техніки — це U.1.2 (Перепади напруги)."
U;Комунальні послуги;U.1;Електроенергія;U.1.2;Перепади напруги;"Коли в мережі нестабільна напруга: світло то тьмяніє, то стає дуже яскравим, вимірювачі показують надто високу/низьку напругу, виходить з ладу побутова техніка.";"Якщо електроенергії немає взагалі — це U.1.1. Якщо несправність стосується внутрішньої проводки лише в одній квартирі після лічильника, це може бути зона відповідальності приватного електрика або власника й належати до NOT_MUNICIPAL."
U;Комунальні послуги;U.2;Водопостачання (холодна вода);U.2.1;Немає холодної води;"Коли з крана зовсім не тече холодна вода, або вона відключена в цілому стояку/будинку: користувач не може отримати жодної холодної води.";"Якщо вода є, але тиск дуже слабкий — це U.2.2 (Слабкий напір холодної води). Якщо проблема з гарячою водою (немає або ледь тепла), потрібно обрати U.3.1 чи U.3.2."
U;Комунальні послуги;U.2;Водопостачання (холодна вода);U.2.2;Слабкий напір холодної води;"Коли холодна вода тече, але дуже слабко: ледь сочиться, неможливо нормально користуватися, сусіди також скаржаться на слабкий тиск.";"Якщо води немає зовсім — U.2.1. Якщо користувач описує проблему саме з гарячою водою (немає чи ледь тепла), це U.3.*, а не U.2.*."
U;Комунальні послуги;U.3;Гаряча вода;U.3.1;Немає гарячої води;"Коли на режимі гарячої води з крана тече тільки холодна, гаряча вода повністю відсутня у квартирі, стояку або будинку.";"Якщо вода є, але недостатньо гаряча — це U.3.2 (Ледь тепла вода). Якщо користувач згадує бойлер, колонку чи індивідуальне обладнання, це може бути приватна відповідальність (NOT_MUNICIPAL), а не проблема центрального гарячого водопостачання."
U;Комунальні послуги;U.3;Гаряча вода;U.3.2;Ледь тепла вода (низька температура);"Коли з крана гарячої води тече вода, яка за відчуттями ледь тепла або майже холодна, і неможливо нормально митися чи приймати душ.";"Якщо гарячої води немає зовсім — це U.3.1. Якщо проблема стосується загальної температури в квартирі (холодно через батареї), це U.4.*, а не U.3.*."
U;Комунальні послуги;U.4;Опалення;U.4.1;Холодні батареї в опалювальний сезон;"Коли в опалювальний сезон батареї в квартирі чи будинку холодні або ледь теплі, у приміщенні низька температура, мешканцям холодно.";"Якщо з батареї або труби опалення тече вода чи кип'яток — це U.4.2 (Прорив труби опалення). Якщо скарга про температуру саме гарячої води з крана, а не батарей — U.3.2."
U;Комунальні послуги;U.4;Опалення;U.4.2;Прорив труби опалення (в квартирі/під'їзді);"Коли з труби опалення або батареї тече вода чи кип'яток, є ризик затоплення квартири, під'їзду або сусідів, ситуація аварійна.";Якщо вода тече зі стелі верхнього поверху після дощу — це H.1.2 (Протікає дах). Якщо батареї просто не гріють без витоку — U.4.1.
U;Комунальні послуги;U.5;Каналізація;U.5.1;Забита каналізація у квартирі / стояку;"Коли вода не зливається у ванній, кухні або унітазі; рівень води піднімається у зливі; чути булькання в стояку; проблема описується як 'забилась каналізація' у квартирі чи під'їзді.";"Якщо в підвалі вже стоять саме фекальні стоки, краще обрати U.5.2 (Фекальні стоки у підвалі). Якщо йдеться про воду після дощу на вулиці чи у дворі, це U.6.*, а не каналізація."
U;Комунальні послуги;U.5;Каналізація;U.5.2;Фекальні стоки у підвалі;"Коли в підвалі будинку з’являються фекальні води, сильний запах каналізації, підвал затоплений нечистотами, і мешканці прямо вказують на каналізаційні стоки.";"Якщо затоплення в підвалі без явних ознак фекалій (просто вода, конденсат, дощова вода) — це H.1.3 (Поганий стан підвалу). U.5.2 використовуємо, коли явно йдеться про фекальні стоки."
U;Комунальні послуги;U.5;Каналізація;U.5.3;Аварійне затоплення каналізацією;"Коли каналізація прорвала так, що стоки виходять у квартиру, під'їзд або двір (наприклад, з унітазу ллється вміст, з трапів у підвалі фонтанує брудна вода).";"U.5.3 описує активну аварійну ситуацію з виходом стоків. U.5.1 більше про забиті зливи без masового виливу, а U.5.2 — про вже накопичені стоки в підвалі."
U;Комунальні послуги;U.6;Ливнева каналізація;U.6.1;Стоїть вода після дощу;"Коли після дощу двір, дорога чи тротуар довго залишаються у воді, утворюються великі калюжі, 'озера' біля будинків або на проїжджій частині.";"Якщо проблема в ямах або вибоїнах на дорозі без згадки про дощову воду, це D.1.1 або R.1.1 (Ями). U.6.1 використовуємо, коли ключовий акцент на тому, що вода не стікає після опадів."
U;Комунальні послуги;U.6;Ливнева каналізація;U.6.2;Забита ливнівка;"Коли вода не йде в дощоприймач, решітка забита листям, сміттям, або користувач скаржиться на те, що 'ливнівка не працює'.";"Не плутати з U.5.*, де йдеться про фекальну каналізацію у будинку. U.6.2 — тільки для дощової води, яка не відводиться через ливневу систему."
U;Комунальні послуги;U.6;Ливнева каналізація;U.6.3;Пошкоджена або відсутня решітка ливнівки;"Коли решітка ливневої каналізації зламана, провалена, частково відсутня або створює небезпеку для пішоходів і транспорту.";"Відрізняється від типового 'відкритого люка' тим, що це саме решітка ливневої каналізації, а не люк фекальної каналізації чи інших мереж. Якщо в тексті згадується люк без контексту дощової води, категорія може бути іншою (наприклад, дорожня)."
R;Вулиці / місто;R.1;Дороги;R.1.1;Яма на проїжджій частині;"Коли ями, вибоїни або провали на проїжджій частині міської дороги, проспекту, траси, де рухається транспорт загальноміського значення.";"Якщо яма у дворі між будинками, це D.1.1 (Яма на внутрішньодворовому проїзді). R.1.1 застосовується для доріг, якими користуються всі учасники дорожнього руху, а не лише мешканці конкретного двору."
R;Вулиці / місто;R.1;Дороги;R.1.2;Не працює світлофор;"Коли світлофор на перехресті, пішохідному переході або виїзді з двору не працює, постійно блимає тільки жовтим або показує некоректні сигнали.";"Якщо проблема стосується лише освітлення вулиці (ліхтарі), а не світлофора, це R.2.1. Якщо йдеться про освітлення двору — D.1.2, а під'їзду — H.2.1."
R;Вулиці / місто;R.2;Освітлення;R.2.1;Не горить вуличний ліхтар;"Коли на вулиці, тротуарі, уздовж дороги або в громадському місці не працюють один чи кілька ліхтарів, освітлення міської території відсутнє або недостатнє.";Якщо ліхтар не працює у дворі біля будинку — це D.1.2. Якщо світло не горить у під'їзді чи на сходах — H.2.1. R.2.1 — саме про міські вуличні ліхтарі.
R;Вулиці / місто;R.3;Благоустрій;R.3.1;Нелегальне звалище / сміття на вулиці;"Коли на вулиці, пустирі, узбіччі, в парку або іншому громадському місці утворилася велика купа сміття, будівельних відходів, старих речей, яка не прив'язана до офіційних сміттєвих контейнерів.";Якщо переповнені саме контейнери біля будинку — це D.2.1 (Не вивозять сміття). Якщо сміття накопичується всередині під'їзду — H.2.2. R.3.1 стосується стихійних звалищ та сміття у громадських місцях.
R;Вулиці / місто;R.3;Благоустрій;R.3.2;Повалене дерево;"Коли дерево вже впало на дорогу, тротуар, двір, автомобіль або інший об'єкт, перекриває рух чи створює небезпеку для людей і транспорту.";"Якщо дерева ще не впали, але гілки виглядають аварійними й можуть впасти — це R.3.3 (Аварійні гілки). Якщо йдеться про дрібні гілки чи листя без небезпеки, це може бути частиною загального прибирання і розглядатись як інший благоустрій."
R;Вулиці / місто;R.3;Благоустрій;R.3.3;"Аварійні гілки, що загрожують падінням";"Коли великі гілки дерев нависають над будинком, тротуаром, дорогою, дитячим майданчиком або лініями електропередач і виглядають так, ніби можуть упасти.";"Якщо дерево вже впало, потрібно використати R.3.2 (Повалене дерево). R.3.3 — це попереджувальна ситуація, коли ще не сталося падіння, але є реальна загроза."
E;Екстрені служби;E.1;МНС / пожежна;E.1.1;Пожежа / сильне задимлення / загроза вибуху;"Коли користувач описує ознаки пожежі: відкрите полум’я, сильний дим, запах гару, вибух або загрозу вибуху, завали після вибуху.";"Комунальні проблеми зі світлом, водою чи опаленням не слід відносити до цієї категорії. Якщо немає явних ознак пожежі чи вибуху, а йдеться про коротке замикання чи запах гару в щитку, це може бути U.1.* або інша некритична категорія, але користувача все одно можна орієнтувати на 101 за наявності небезпеки."
E;Екстрені служби;E.2;Поліція;E.2.1;Правопорушення / небезпека для людей;"Коли описуються бійки, напад, погрози, крадіжки, хуліганство, домашнє насильство, підозрілі особи зі зброєю чи інші ситуації, що становлять небезпеку для життя і здоров'я людей.";"Якщо скарга лише на гучних сусідів, музику або будівельний шум без прямої загрози, це може бути не сферою комунальних служб і більше підходити до NOT_MUNICIPAL із порадою звернутися до поліції чи відповідних інспекцій."
E;Екстрені служби;E.3;Швидка допомога;E.3.1;Невідкладний стан здоров'я;"Коли людина втратила свідомість, має сильну кровотечу, підозру на інфаркт, інсульт, важку травму чи інший невідкладний стан, де потрібен виклик швидкої медичної допомоги.";"Якщо скарга стосується лише умов у будинку (холодно, немає світла, тече дах), навіть якщо це впливає на самопочуття, це комунальна проблема (H/U/D/R категорії), а не пряма категорія для швидкої. E.3.1 використовується, коли головний запит — саме медична допомога."
E;Екстрені служби;E.4;Аварійна газова служба;E.4.1;Запах газу / підозра на витік газу;"Коли користувач відчуває різкий запах газу в квартирі, під'їзді, підвалі або біля будинку; є підозра на витік газу, несправність газового обладнання чи загрозу вибуху.";"Якщо проблема лише в платіжках за газ, тарифах, договорах з постачальником — це не аварійна ситуація, і може бути віднесено до NOT_MUNICIPAL або до іншого типу консультацій. E.4.1 — тільки про фізичний витік або явну загрозу, пов'язану з газом."
X;Диспетчер / уточнення;X.1;Невизначена комунальна проблема;X.1.1;Потрібне уточнення диспетчера (UNCLEAR);"Коли звернення схоже на комунальну проблему, але за наявним текстом неможливо однозначно визначити категорію чи відповідальну службу: опис занадто загальний, суперечливий або одночасно підходить до кількох категорій.";"Якщо з тексту можна хоча б приблизно встановити найбільш ймовірну категорію (наприклад, 'немає води' → U.2.1), краще обрати її. X.1.1 використовуємо лише тоді, коли впевненість дуже низька і без додаткових уточнень від користувача або диспетчера легко помилитися."
Z;Не наша сфера відповідальності;Z.1;Не комунальна проблема;Z.1.1;Проблема не належить до комунальних служб (NOT_MUNICIPAL);"Коли звернення стосується інтернет-провайдера, мобільного зв'язку, банку, магазину, служби доставки, конфліктів між сусідами, особистих стосунків, медичних або освітніх послуг, роботи приватних компаній тощо — тобто не інженерної інфраструктури будинку, двору чи міста.";"Якщо хоча б частина тексту чітко описує типову комунальну проблему (світло, вода, опалення, дах, двір, дорога, сміття), потрібно обрати відповідну H/D/U/R/E категорію для цієї частини. Z.1.1 застосовується, коли вся суть звернення лежить поза сферою ЖКГ і міських комунальних служб."
