entity_id,name,phone,email,address,description,responsible_entity_type
KS_Obolon_1,"Керуюча компанія Оболонського району",(044) 419-75-92,kkobolon@ukr.net,"м. Київ, вул. Героїв Сталінграда, 14-Б","Обслуговування житлового фонду Оболонського району.",ManagementCompany/OSBB
KS_Holos_1,"Керуюча компанія Голосіївського району",(044) 277-21-20,kgolosiivska@ukr.net,"м. Київ, вул. Голосіївська, 17А","Обслуговування житлового фонду Голосіївського району.",ManagementCompany/OSBB
KS_Desny_1,"Керуюча компанія Деснянського району",(044) 515-99-90,desnjanskazek@ukr.net,"м. Київ, вул. Закревського, 15А","Обслуговування житлового фонду Деснянського району.",ManagementCompany/OSBB
KS_Shevch_1,"Керуюча компанія Шевченківського району",(044) 489-01-00,shevchenkivska@ukr.net,"м. Київ, вул. Дегтярівська, 37","Обслуговування житлового фонду Шевченківського району.",ManagementCompany/OSBB
KyivSvetlofor_General,"КП «Київсвітло»",(044) 366-80-08,info@kyivsvitlo.kiev.ua,"м. Київ, просп. Перемоги, 9А","Обслуговування світлофорів та дорожніх знаків міста.",MunicipalUtility_TrafficMgmt
KyivPark_General,"КП «Київський міський центр розвитку ринкових відносин»",(044) 458-34-92,info@kievparkservice.com.ua,"м. Київ, вул. Володимирська, 58","Управління парками та скверами, обслуговування лавок/урн у парках.",MunicipalUtility_GreeneryService
KyivHousingDept_General,"Департамент Житлово-комунальної інфраструктури КМДА",(044) 235-46-91,dzki@kyivcity.gov.ua,"м. Київ, вул. Велика Васильківська, 58","Головний орган управління ЖКГ у місті, відповідає за загальний стан інфраструктури.",MunicipalUtility_HousingDept
KyivArchitecture_General,"Департамент містобудування та архітектури КМДА",(044) 299-44-88,info@kga.gov.ua,"м. Київ, вул. Хрещатик, 32","Незаконне будівництво, планування міста.",MunicipalUtility_ArchitectureDept
KyivTrade_General,"Департамент промисловості та розвитку підприємництва КМДА",(044) 235-98-64,dprp@kyivcity.gov.ua,"м. Київ, вул. Хрещатик, 36","Несанкціонована реклама/графіті.",MunicipalUtility_HousingDept
KyivBuildingControl_General,"Державна архітектурно-будівельна інспекція України",(044) 291-66-88,dabi@dabi.gov.ua,"м. Київ, бульв. Лесі Українки, 26","Контроль за будівництвом та архітектурою.",MunicipalUtility_ArchitectureDept
KyivEkoBezpeka_General,"КП «Київблагоустрій»",(044) 489-70-13,kievblago@ukr.net,"м. Київ, вул. Софійська, 20/21","Благоустрій міста, контроль за МАФами.",MunicipalUtility_HousingDept
KyivCityStateAdmin,"Київська міська державна адміністрація (КМДА)",(044) 202-76-00,info@kyivcity.gov.ua,"м. Київ, вул. Хрещатик, 36","Загальне управління містом, вищий рівень ієрархії.",MunicipalUtility_HousingDept
KyivEnergo_ServiceCenter1,"Центр обслуговування споживачів ДТЕК-1",(044) 202-00-11,service@dtek.com,"м. Київ, вул. Жилянська, 35","Обслуговування споживачів електроенергії.",CustomerService_Center
KyivVoda_ServiceCenter1,"Центр обслуговування споживачів Київводоканал-1",(044) 200-73-01,service@vodokanal.kiev.ua,"м. Київ, вул. Ревуцького, 5А","Обслуговування споживачів води.",CustomerService_Center
KyivHeat_ServiceCenter1,"Центр обслуговування споживачів Київтеплоенерго-1",(044) 247-40-40,service@kte.com,"м. Київ, бульв. Івана Лепсе, 21","Обслуговування споживачів тепла та гарячої води.",CustomerService_Center
KyivGas_ServiceCenter1,"Центр обслуговування споживачів Київгаз-1",(044) 495-04-04,service@kyivgaz.ua,"м. Київ, вул. Михайла Василенка, 11","Обслуговування споживачів газу.",CustomerService_Center
KyivWaste_ServiceCenter1,"Центр обслуговування споживачів Київкомунсервіс-1",(044) 594-77-15,service@kks.com.ua,"м. Київ, вул. Кудрявська, 23","Обслуговування споживачів поводження з відходами.",CustomerService_Center
KyivZoo_General,"Київський зоопарк загальнодержавного значення",(044) 367-74-70,zoo@kyivcity.gov.ua,"м. Київ, просп. Перемоги, 32","Довідкова інформація про зоопарк.",Other_Info
KyivCinema_General,"Кінотеатр «Київ»",(044) 287-11-31,cinema@kyivcity.gov.ua,"м. Київ, вул. Велика Васильківська, 19","Інформація про кінотеатр.",Other_Info
KyivLibrary_General,"Національна бібліотека України ім. В.І. Вернадського",(044) 524-81-37,info@nbuv.gov.ua,"м. Київ, просп. Голосіївський, 3","Інформація про бібліотеку.",Other_Info
KyivMuseum_General,"Національний музей історії України",(044) 278-48-64,info@nmiu.org.ua,"м. Київ, вул. Володимирська, 2","Інформація про музей.",Other_Info
KyivTheater_General,"Національний академічний театр опери та балету України",(044) 235-26-06,info@opera.com.ua,"м. Київ, вул. Володимирська, 50","Інформація про театр.",Other_Info
KyivSports_General,"НСК «Олімпійський»",(044) 590-66-88,info@nsc-olympic.com,"м. Київ, вул. Велика Васильківська, 55","Інформація про стадіон.",Other_Info
KyivTransport_General,"КП «Київпастранс»",(044) 528-30-11,info@kpt.kiev.ua,"м. Київ, вул. Набережно-Рибальська, 16","Наземний громадський транспорт (автобуси, трамваї, тролейбуси).",MunicipalUtility_Transport
